"id","created_at","updated_at","state","linkpay_reference","payment_details"
"999233","2025-10-03 09:11:45.354900 UTC","2025-10-03 09:11:56.093715 UTC","completed","G2JIY2q7Hk","{""checkup_payment"":null,""payment_reference"":""8390f4dcb5dc4422189520752ab639643f5c9f33c4bbf11ac632b0301e1a5582"",""transaction_reference"":""6cc28493da475b799240ad6f8ea84824a28dc7b6551ff3354ab82d1c7bf611da"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-03T09:11:55Z"",""cc_details"":{""cc_last_four_digits"":""7541"",""cc_year"":""2027"",""cc_month"":""8"",""cc_holder_name"":""Automated Testing"",""cc_token"":""78de1e09ad7fe6689f153107"",""cc_type"":""master_card"",""cc_issuer"":""AS LHV Pank"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""536126""}"
"999467","2025-10-03 21:14:51.545227 UTC","2025-10-03 21:14:59.502668 UTC","completed","wMuVkXHSV9","{""checkup_payment"":null,""payment_reference"":""c2c5d0bb6866cd76df158de0ef344b911d078e2a7a8f86da4886969440059f83"",""transaction_reference"":""ac3821f048851bca5ee2709c51159d5cac15eb643a0d988de68fe3f4a6416a28"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-03T21:14:59Z"",""cc_details"":{""cc_last_four_digits"":""4468"",""cc_year"":""2027"",""cc_month"":""6"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""Swedbank AS"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""947036""}"
"998933","2025-10-03 03:17:24.202341 UTC","2025-10-03 03:17:24.914572 UTC","waiting_for_access_token","MQYKLI5jAJ","{""payment_reference"":""9e4a916a4dc6cbac53261f3634f581d32137e75e049d37361fdcb137d375ca65"",""veres_url"":null,""pareq"":null,""checkup_payment"":false,""arrangement"":null,""token_agreement"":null,""provider_3ds_name"":""modirum"",""order_reference"":""b08134d776ff9e84a394c8b60aa1dd7b"",""disable_tokenization_filter"":null,""email"":null,""phone_country_code"":null,""phone_number"":null}"
"999118","2025-10-03 09:02:52.144403 UTC","2025-10-03 09:02:52.950702 UTC","waiting_for_access_token","AZDwcgRW","{""frequency"":""Monthly"",""start_date"":""2025-10-06"",""end_date"":""2026-01-01""}"
"999235","2025-10-03 09:11:54.678114 UTC","2025-10-03 09:12:05.893029 UTC","completed","kVf5wJYhRy","{""checkup_payment"":null,""payment_reference"":""e628c0b29bd1b94cb7c629715064c17bd32a4fac0d72852930c824376ff888f4"",""transaction_reference"":""4521944cddd2690ada7e182f2cba7b73cc17d957f78e0a1a29238f3ea9af3130"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-03T09:12:05Z"",""cc_details"":{""cc_last_four_digits"":""7541"",""cc_year"":""2027"",""cc_month"":""8"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card"",""cc_issuer"":""AS LHV Pank"",""cc_product"":""DEBIT STANDARD"",""cc_funding_source"":""Debit"",""cc_issuer_country"":""EE""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""536127""}"
"998913","2025-10-03 03:16:13.845177 UTC","2025-10-03 03:16:14.745415 UTC","waiting_for_access_token","doqSj7Jv","{""frequency"":""Monthly"",""start_date"":""2025-10-06"",""end_date"":""2026-01-01""}"
"999402","2025-10-03 21:10:38.721634 UTC","2025-10-03 21:10:48.055238 UTC","completed","JQU3dD736c","{""checkup_payment"":null,""payment_reference"":""4d75ecdbce291d0a11d30c2ae3b16c22400ca832679f0c3f1e3e488642588b98"",""transaction_reference"":""af4e70af53eaf2b243b9e754820a83febe2a99c8ca12c6663b25e954f4f476f4"",""payment_state"":""settled"",""transaction_result"":""completed"",""transaction_time"":""2025-10-03T21:10:47Z"",""cc_details"":{""cc_last_four_digits"":""0004"",""cc_year"":""2025"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_type"":""master_card""},""veres_url"":null,""pareq"":null,""processing_errors"":null,""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""974361""}"
"998919","2025-10-03 03:16:36.323136 UTC","2025-10-03 03:16:37.166964 UTC","waiting_for_access_token","bhKrYP27","{""frequency"":""Monthly"",""start_date"":""2025-10-06"",""end_date"":""2026-01-01""}"
"999490","2025-10-03 21:16:51.659580 UTC","2025-10-03 21:16:52.362193 UTC","waiting_for_payment_selection","Ut3XPUaSzn","{""payment_reference"":""7622d9a3e65b93501a4987609e5a9eb39e272ab8642bf22af93159a8c9c700ba""}"
"999419","2025-10-03 21:11:44.633733 UTC","2025-10-03 21:12:18.766826 UTC","failed","qp2jHBzvCg","{""checkup_payment"":null,""payment_reference"":""c2dad4f92348e60846f5ee452386b1e00d949d79f5b7099ea17310ce993be2d0"",""transaction_reference"":""1f81f7f1668ab42ed271b74b5f422d973ee78d5c198516ceacf28366a502ddd3"",""payment_state"":""failed"",""transaction_result"":""failed"",""transaction_time"":""2025-10-03T21:12:18Z"",""cc_details"":{""cc_last_four_digits"":""0104"",""cc_year"":""2031"",""cc_month"":""12"",""cc_holder_name"":""Automated Testing"",""cc_type"":""visa"",""cc_product"":""Visa Traditional"",""cc_funding_source"":""Unknown"",""cc_issuer_country"":""BE""},""veres_url"":null,""pareq"":null,""processing_errors"":[{""code"":3045,""message"":""Card issuer or network not available; Card issuer timed out""}],""processing_warnings"":null,""account_id"":null,""stan"":null,""state_3ds"":null,""fraud_score"":null,""provider_3ds_name"":null,""error"":null,""error_code"":null,""authorisation_code"":""000000""}"
